Frequency_Hz,Magnitude_dB,Phase_deg,Coherence
13.5901,47.9107,-174.06,0.9594
13.7713,48.1654,-176.15,0.9723
13.9525,48.3369,-177.84,0.9778
14.1337,48.3043,-177.28,0.9769
14.3149,48.1498,-175.90,0.9706
14.4961,48.1092,-176.21,0.9642
14.6773,48.0569,-177.16,0.9595
14.8585,48.0037,-178.24,0.9565
15.0397,48.1354,-180.20,0.9571
15.2209,48.3001,-181.96,0.9535
15.4021,48.3016,-182.27,0.9388
15.5833,48.3210,-182.48,0.9185
15.7645,48.4664,-183.66,0.9155
15.9457,48.4297,-184.87,0.9128
16.1269,48.3645,-186.56,0.9171
16.3081,48.2950,-187.08,0.9284
16.4893,48.3353,-188.17,0.9427
16.6705,48.4349,-188.67,0.9529
16.8517,48.4906,-189.29,0.9573
17.0329,48.6007,-191.86,0.9514
17.2141,48.9173,-191.30,0.9460
17.3953,49.0816,-188.32,0.9367
17.5765,49.2194,-187.25,0.9177
17.7577,49.4612,-187.54,0.8994
17.9389,49.5484,-186.34,0.8920
18.1201,49.7531,-187.31,0.8808
18.3013,50.1282,-187.65,0.8824
18.4825,50.3958,-187.80,0.8866
18.6637,50.2517,-186.96,0.8770
18.8449,50.2823,-188.73,0.8736
19.0261,50.4067,-189.99,0.8777
19.2073,50.4600,-191.17,0.8574
19.3885,50.5899,-191.52,0.8586
19.5697,50.8301,-189.89,0.8702
19.7509,50.7827,-189.88,0.8449
19.9321,50.6936,-189.19,0.8189
20.1133,50.5230,-189.46,0.7846
20.2945,50.4648,-186.72,0.7549
20.4757,50.6135,-183.05,0.7542
20.6569,50.8231,-180.20,0.7510
20.8381,51.1676,-176.73,0.7711
21.0193,51.4923,-174.26,0.7922
21.2005,51.8093,-172.21,0.8164
21.3817,52.0024,-170.45,0.8351
21.5629,52.1701,-169.29,0.8532
21.7441,52.3193,-167.74,0.8674
21.9253,52.4510,-166.95,0.8881
22.1065,52.5065,-165.93,0.8950
22.2877,52.5431,-165.13,0.8990
22.4689,52.5829,-163.90,0.9008
22.6501,52.5240,-162.86,0.8988
22.8313,52.4121,-162.05,0.8947
23.0125,52.3573,-161.89,0.8923
23.1937,52.2702,-162.16,0.8895
23.3749,52.1875,-162.59,0.8908
23.5561,52.2283,-162.85,0.8961
23.7373,52.3873,-162.26,0.9006
23.9185,52.3671,-161.32,0.8990
24.0997,52.4090,-160.76,0.8984
24.2809,52.3416,-159.46,0.9030
24.4621,52.1831,-158.32,0.9013
24.6433,52.0811,-157.05,0.9047
24.8245,52.0002,-155.87,0.9168
25.0057,51.9512,-154.52,0.9303
25.1869,51.9800,-154.34,0.9425
25.3681,51.9434,-154.56,0.9533
25.5493,52.0225,-155.00,0.9609
25.7305,52.1067,-154.86,0.9647
25.9117,52.3601,-154.57,0.9671
26.0929,52.5995,-154.02,0.9722
26.2741,52.7174,-153.40,0.9848
26.4553,52.6556,-153.11,0.9915
26.6365,52.5703,-153.52,0.9888
26.8177,52.3823,-154.73,0.9881
26.9989,52.1613,-156.15,0.9857
27.1801,51.5968,-156.54,0.9790
27.3613,51.1829,-160.42,0.9840
27.5425,51.0645,-161.41,0.9791
27.7237,50.7670,-162.00,0.9817
27.9049,51.0612,-161.25,0.9850
28.0861,51.4219,-159.85,0.9798
28.2673,51.3492,-155.57,0.9805
28.4485,51.2111,-150.04,0.9819
28.6297,51.1184,-146.40,0.9836
28.8109,51.4003,-141.81,0.9777
28.9921,51.1803,-139.29,0.9847
29.1733,51.2636,-141.80,0.9834
29.3545,50.9291,-141.50,0.9548
29.5357,49.8415,-150.84,0.9114
29.7169,50.4832,-161.88,0.9546
29.8981,51.2145,-165.13,0.9699
30.0793,51.5747,-165.09,0.9752
30.2605,51.5733,-162.28,0.9830
30.4417,50.9317,-160.98,0.9870
30.6229,50.6848,-160.20,0.9838
30.8041,50.8099,-154.71,0.9533
30.9853,50.2280,-147.31,0.9645
31.1665,49.8797,-143.85,0.9379
31.3477,48.5759,-140.55,0.8873
31.5289,47.2639,-146.32,0.7993
31.7101,46.7081,-160.41,0.8128
31.8913,47.5154,-172.85,0.8671
32.0725,48.7156,-178.98,0.8346
32.2537,49.7332,-180.53,0.8972
32.4349,50.2557,-182.26,0.9081
32.6161,50.5963,-183.01,0.8929
32.7973,50.0891,-183.49,0.8714
32.9785,48.1323,-182.80,0.7380
33.1597,43.9252,-196.60,0.4771
33.3409,32.8010,-246.83,0.0416
33.5221,39.3061,-331.31,0.1741
33.7033,47.3483,-363.75,0.3645
33.8845,50.7157,-357.56,0.5252
34.0657,50.8004,-348.08,0.5222
34.2469,47.0415,-335.30,0.4249
34.4281,40.8814,-301.99,0.2517
34.6094,39.8594,-217.98,0.2008
34.7906,41.6317,-197.87,0.2979
34.9718,45.0780,-200.73,0.4536
35.1530,42.9999,-183.47,0.3049
35.3342,41.0020,-203.06,0.2709
35.5154,39.1870,-243.09,0.0853
35.6966,43.2877,-275.47,0.2893
35.8778,46.1797,-293.14,0.2087
36.0590,50.3759,-302.50,0.5370
36.2402,52.1654,-302.48,0.3695
36.4214,50.3728,-307.83,0.3061
36.6026,47.9093,-300.49,0.2220
36.7838,38.4958,-317.19,0.0316
36.9650,36.9867,-277.02,0.0245
37.1462,35.8007,-209.11,0.0218
37.3274,32.7025,-161.02,0.0210
37.5086,34.1262,-255.98,0.0219
37.6898,42.5547,-236.95,0.0710
37.8710,38.8137,-267.92,0.0283
38.0522,44.8265,-252.93,0.0850
38.2334,45.3735,-233.99,0.0820
38.4146,49.0811,-244.03,0.1550
38.5958,50.2286,-216.35,0.1842
38.7770,51.7331,-212.81,0.3659
38.9582,51.0066,-201.04,0.2469
39.1394,52.1996,-188.54,0.3268
39.3206,54.3087,-179.98,0.4972
39.5018,58.4423,-173.40,0.7784
39.6830,58.5096,-177.84,0.6484
39.8642,56.6714,-162.01,0.4184
40.0454,56.9330,-160.17,0.5102
40.2266,58.5002,-154.76,0.4938
40.4078,62.6922,-144.01,0.7887
40.5890,62.4642,-143.79,0.7330
40.7702,62.4848,-133.35,0.6436
40.9514,62.8057,-127.11,0.5439
41.1326,61.2644,-122.10,0.3278
41.3138,60.2133,-92.02,0.2013
41.4950,58.8523,-83.69,0.1041
41.6762,61.5431,-9.00,0.2116
41.8574,62.9525,-2.58,0.3431
42.0386,59.2646,-43.01,0.1368
42.2198,62.2096,-88.97,0.1867
42.4010,67.0355,-102.12,0.4837
42.5822,65.6097,-99.80,0.5980
42.7634,64.6293,-113.39,0.7503
42.9446,63.6983,-112.77,0.7455
43.1258,64.1508,-115.31,0.8290
43.3070,64.8374,-111.11,0.8977
43.4882,64.3094,-107.78,0.9011
43.6694,63.7308,-107.95,0.9091
43.8506,63.4756,-104.13,0.8751
44.0318,62.7925,-101.76,0.9119
44.2130,62.3005,-98.56,0.9158
44.3942,61.5337,-93.49,0.9410
44.5754,60.9804,-92.63,0.9229
44.7566,60.8757,-88.72,0.8990
44.9378,60.1193,-87.20,0.9053
45.1190,59.9798,-86.82,0.9489
45.3002,59.4137,-83.69,0.9677
45.4814,59.1837,-81.38,0.9301
45.6626,58.9549,-81.09,0.8984
45.8438,59.2408,-78.38,0.8823
46.0250,58.6505,-78.51,0.8431
46.2062,59.4497,-81.12,0.8904
46.3874,59.8893,-78.51,0.8755
46.5686,60.0806,-76.92,0.9237
46.7498,59.8863,-75.09,0.8787
46.9310,59.0632,-80.79,0.8784
47.1122,59.4494,-85.99,0.9134
47.2934,59.2914,-89.28,0.9173
47.4746,59.2066,-95.36,0.9361
47.6558,58.4936,-93.55,0.8190
47.8370,57.8798,-100.21,0.8741
48.0182,58.2771,-101.45,0.8730
48.1994,57.5652,-102.43,0.8314
48.3806,57.5117,-105.94,0.8498
48.5618,57.5629,-103.28,0.6857
48.7430,58.0596,-105.75,0.6879
48.9242,60.0233,-111.13,0.6815
49.1054,59.9829,-111.74,0.4968
49.2866,56.4523,-108.50,0.2632
49.4678,46.1243,-144.03,0.0246
